WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00001924	his-50	F07B7.9	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001925	his-51	F07B7.10	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001926	his-52	F07B7.4	ENSG00000124635;ENSG00000158373;ENSG00000185130;ENSG00000197903;ENSG00000203814;ENSG00000146047;ENSG00000180596;ENSG00000184678;ENSG00000196890;ENSG00000233822;ENSG00000273703;ENSG00000274641;ENSG00000275713;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BD;HIST1H2BL;HIST1H2BK;HIST2H2BF;HIST1H2BA;HIST1H2BC;HIST2H2BE;HIST3H2BB;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BH;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;H2BFM;H2BFWT;	
WBGene00001927	his-53	F07B7.3	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001928	his-54	F07B7.11	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000180596;ENSG00000233822;ENSG00000273703;ENSG00000276410;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000277224;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BB;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BF;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001929	his-55	F54E12.1	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001930	his-56	F54E12.3	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000276966;ENSG00000273542;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4E;HIST1H4K;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001931	his-57	F54E12.5	ENSG00000184260;ENSG00000196747;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196866;ENSG00000275221;ENSG00000276903;ENSG00000196787;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000276368;ENSG00000277075;ENSG00000278677;ENSG00000274997;ENSG00000278463	HIST2H2AC;HIST1H2AI;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AD;HIST1H2AK;HIST1H2AL;HIST1H2AG;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AJ;HIST1H2AE;HIST1H2AM;HIST1H2AH;HIST1H2AB	
WBGene00001932	his-58	F54E12.4	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001933	his-59	F55G1.2	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001934	his-60	F55G1.11	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000277157;ENSG00000273542;ENSG00000276966;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4D;HIST1H4K;HIST1H4E;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001935	his-61	F55G1.10	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001936	his-62	F55G1.3	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001937	his-63	F22B3.2	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001938	his-64	F22B3.1	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270882;ENSG00000270276;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4A;HIST2H4B;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001939	his-65	H02I12.7	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001940	his-66	H02I12.6	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000180596;ENSG00000233822;ENSG00000273703;ENSG00000276410;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000277224;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BB;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BF;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001941	his-67	T23D8.5	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000278637;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4A;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001942	his-68	T23D8.6	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001943	his-69	E03A3.3	ENSG00000132475;ENSG00000163041;ENSG00000197153;ENSG00000197409;ENSG00000203818;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000178458	H3F3B;H3F3A;HIST1H3J;HIST1H3D;HIST2H3PS2;HIST2H3D;HIST2H3C;HIST2H3A;	
WBGene00001944	his-70	E03A3.4	ENSG00000132475;ENSG00000163041	H3F3B;H3F3A	
WBGene00001945	his-71	F45E1.6	ENSG00000132475;ENSG00000163041;ENSG00000197153;ENSG00000197409;ENSG00000203818;ENSG00000188375;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000178458	H3F3B;H3F3A;HIST1H3J;HIST1H3D;HIST2H3PS2;H3F3C;HIST2H3D;HIST2H3C;HIST2H3A;	
WBGene00001946	his-72	Y49E10.6	ENSG00000132475;ENSG00000163041;ENSG00000197153;ENSG00000197409;ENSG00000203818;ENSG00000188375;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000178458	H3F3B;H3F3A;HIST1H3J;HIST1H3D;HIST2H3PS2;H3F3C;HIST2H3D;HIST2H3C;HIST2H3A;	
WBGene00001948	hlh-1	B0304.1	ENSG00000111046;ENSG00000111049;ENSG00000122180;ENSG00000129152	MYF6;MYF5;MYOG;MYOD1	Centronuclear myopathy 3, 614408;;;
WBGene00001949	hlh-2	M05B5.5	ENSG00000071564;ENSG00000140262;ENSG00000196628	TCF3;TCF12;TCF4	Agammaglobulinemia 8, autosomal dominant, 616941;Craniosynostosis 3, 615314;Corneal dystrophy, Fuchs endothelial, 3, 613267|Pitt-Hopkins syndrome, 610954
WBGene00001950	hlh-3	T24B8.6	ENSG00000139352;ENSG00000187855;ENSG00000183734	ASCL1;ASCL4;ASCL2	Central hypoventilation syndrome, congenital, 209880|Haddad syndrome, 209880;;
WBGene00001952	hlh-6	T15H9.3	ENSG00000176009;ENSG00000232237;ENSG00000187855	ASCL3;ASCL5;ASCL4	
WBGene00001953	hlh-8	C02B8.4	ENSG00000122691;ENSG00000233608;ENSG00000125878;ENSG00000260428	TWIST1;TWIST2;TCF15;SCX	Craniosynostosis 1, 123100|Robinow-Sorauf syndrome, 180750|Saethre-Chotzen syndrome with or without eyelid anomalies, 101400|Sweeney-Cox syndrome, 617746;Ablepharon-macrostomia syndrome, 200110|Barber-Say syndrome, 209885|Focal facial dermal dysplasia 3, Setleis type, 227260;;
WBGene00001954	hlh-10	ZK682.4	ENSG00000118526;ENSG00000178860;ENSG00000261787	TCF21;MSC;TCF24	
WBGene00001955	hlh-11	F58A4.7	ENSG00000090447	TFAP4	
WBGene00001957	hlh-13	F48D6.3	ENSG00000168267;ENSG00000146618	PTF1A;FERD3L	Pancreatic agenesis 2, 615935|Pancreatic and cerebellar agenesis, 609069;
WBGene00001958	hlh-14	C18A3.8	ENSG00000139352	ASCL1	Central hypoventilation syndrome, congenital, 209880|Haddad syndrome, 209880
WBGene00001959	hlh-15	C43H6.8	ENSG00000171786;ENSG00000177551	NHLH1;NHLH2	
WBGene00001960	hlh-16	DY3.3	ENSG00000125533;ENSG00000177468;ENSG00000180828;ENSG00000184221;ENSG00000205927	BHLHE23;OLIG3;BHLHE22;OLIG1;OLIG2	
WBGene00001961	hlh-17	F38C2.2	ENSG00000125533;ENSG00000180828;ENSG00000177468;ENSG00000205927	BHLHE23;BHLHE22;OLIG3;OLIG2	
WBGene00001971	hmg-1.1	Y48B6A.14	ENSG00000029993;ENSG00000164104;ENSG00000176256;ENSG00000189403	HMGB3;HMGB2;HMGB4;HMGB1	Microphthalmia, syndromic 13, 300915;;;
WBGene00001972	hmg-1.2	F47D12.4	ENSG00000164104;ENSG00000029993;ENSG00000189403;ENSG00000176256;ENSG00000124097;ENSG00000225051	HMGB2;HMGB3;HMGB1;HMGB4;;	Microphthalmia, syndromic 13, 300915;;;;
WBGene00001973	hmg-3	C32F10.5	ENSG00000149136	SSRP1	
WBGene00001974	hmg-4	T20B12.8	ENSG00000149136	SSRP1	
WBGene00001975	hmg-5	F45E4.9	ENSG00000108064	TFAM	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type), 617156
WBGene00001976	hmg-11	T05A7.4	ENSG00000149948	HMGA2	Leiomyoma, uterine, somatic, 150699
WBGene00001978	hmp-1	R13H4.4	ENSG00000066032;ENSG00000044115;ENSG00000183230	CTNNA2;CTNNA1;CTNNA3	Macular dystrophy, patterned, 2, 608970;Arrhythmogenic right ventricular dysplasia, familial, 13, 615616
WBGene00001979	hmp-2	K05C4.6	ENSG00000168036;ENSG00000173801	CTNNB1;JUP	Colorectal cancer, somatic, 114500|Exudative vitreoretinopathy 7, 617572|Hepatocellular carcinoma, somatic, 114550|Medulloblastoma, somatic, 155255|Mental retardation, autosomal dominant 19, 615075|Ovarian cancer, somatic, 167000|Pilomatricoma, somatic, 132600;Arrhythmogenic right ventricular dysplasia 12, 611528|Naxos disease, 601214
WBGene00001980	hmr-1	W02B9.1	ENSG00000083857;ENSG00000086570;ENSG00000165323;ENSG00000166341;ENSG00000197410;ENSG00000196159;ENSG00000107736	FAT1;FAT2;FAT3;DCHS1;DCHS2;FAT4;CDH23	Spinocerebellar ataxia 45, 617769;;Mitral valve prolapse 2, 607829|Van Maldergem syndrome 1, 601390;;Hennekam lymphangiectasia-lymphedema syndrome 2, 616006|Van Maldergem syndrome 2, 615546;Deafness, autosomal recessive 12, 601386|Pituitary adenoma 5, multiple types, 617540|Usher syndrome, type 1D, 601067|Usher syndrome, type 1D/F digenic, 601067
WBGene00001983	hoe-1	E04A4.4	ENSG00000006744;ENSG00000141642	ELAC2;ELAC1	Combined oxidative phosphorylation deficiency 17, 615440|Prostate cancer, hereditary, 2, susceptibility to, 614731;
WBGene00001985	hop-1	C18E3.8	ENSG00000080815;ENSG00000143801	PSEN1;PSEN2	Acne inversa, familial, 3, 613737|Alzheimer disease, type 3, 607822|Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822|Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822|Cardiomyopathy, dilated, 1U, 613694|Dementia, frontotemporal, 600274|Pick disease, 172700;Alzheimer disease-4, 606889|Cardiomyopathy, dilated, 1V, 613697
WBGene00001993	hpd-1	T21C12.2	ENSG00000158104	HPD	Hawkinsinuria, 140350|Tyrosinemia, type III, 276710
WBGene00001994	hpk-1	F20B6.8	ENSG00000064393;ENSG00000110422;ENSG00000163349	HIPK2;HIPK3;HIPK1	
WBGene00001995	hpl-1	K08H2.6	ENSG00000108468;ENSG00000094916;ENSG00000122565	CBX1;CBX5;CBX3	
WBGene00001996	hpl-2	K01G5.2	ENSG00000108468;ENSG00000094916;ENSG00000122565	CBX1;CBX5;CBX3	
WBGene00001997	hpr-9	Y39A1A.23	ENSG00000151164;ENSG00000172613	RAD9B;RAD9A	
WBGene00001998	hpr-17	F32A11.2	ENSG00000152942;ENSG00000276618	RAD17;RAD17	
WBGene00001999	hrp-1	F42A6.7	ENSG00000135486;ENSG00000170144;ENSG00000122566;ENSG00000139675;ENSG00000177733;ENSG00000071626;ENSG00000213300	HNRNPA1;HNRNPA3;HNRNPA2B1;HNRNPA1L2;HNRNPA0;DAZAP1;	Amyotrophic lateral sclerosis 20, 615426|Inclusion body myopathy with early-onset Paget disease without frontotemporal dementia 3, 615424;;Inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2, 615422;;;;
WBGene00002000	hrp-2	F58D5.1	ENSG00000135316;ENSG00000125944;ENSG00000282958;ENSG00000148584;ENSG00000151962;ENSG00000163694;ENSG00000256453	SYNCRIP;HNRNPR;HNRNPR;A1CF;RBM46;RBM47;DND1	
WBGene00002001	hars-1	T11G6.1	ENSG00000170445;ENSG00000112855	HARS;HARS2	Charcot-Marie-Tooth disease, axonal, type 2W, 616625|Usher syndrome type 3B, 614504;Perrault syndrome 2, 614926
WBGene00002002	hsb-1	K08E7.2	ENSG00000230989	HSBP1	
WBGene00002003	hse-5	B0285.5	ENSG00000138604	GLCE	
WBGene00002004	hsf-1	Y53C10A.12	ENSG00000185122;ENSG00000102878;ENSG00000025156	HSF1;HSF4;HSF2	Cataract 5, multiple types, 116800;
WBGene00002005	hsp-1	F26D10.3	ENSG00000109971;ENSG00000126803;ENSG00000204388;ENSG00000204389;ENSG00000204390;ENSG00000212866;ENSG00000215328;ENSG00000224501;ENSG00000231555;ENSG00000232804;ENSG00000234475;ENSG00000235941;ENSG00000237724;ENSG00000173110;ENSG00000206383;ENSG00000234258;ENSG00000236251;ENSG00000044574;ENSG00000226704	HSPA8;HSPA2;HSPA1B;HSPA1A;HSPA1L;HSPA1B;HSPA1A;HSPA1B;HSPA1B;HSPA1B;HSPA1A;HSPA1A;HSPA1A;HSPA6;HSPA1L;HSPA1L;HSPA1L;HSPA5;HSPA1L	
WBGene00002007	hsp-3	C15H9.6	ENSG00000044574;ENSG00000109971;ENSG00000126803;ENSG00000173110;ENSG00000204388;ENSG00000204389;ENSG00000204390;ENSG00000212866;ENSG00000215328;ENSG00000224501;ENSG00000231555;ENSG00000232804;ENSG00000234475;ENSG00000235941;ENSG00000237724;ENSG00000206383;ENSG00000234258;ENSG00000236251;ENSG00000226704	HSPA5;HSPA8;HSPA2;HSPA6;HSPA1B;HSPA1A;HSPA1L;HSPA1B;HSPA1A;HSPA1B;HSPA1B;HSPA1B;HSPA1A;HSPA1A;HSPA1A;HSPA1L;HSPA1L;HSPA1L;HSPA1L	
WBGene00002008	hsp-4	F43E2.8	ENSG00000044574;ENSG00000109971;ENSG00000126803;ENSG00000173110;ENSG00000204388;ENSG00000204389;ENSG00000204390;ENSG00000212866;ENSG00000215328;ENSG00000224501;ENSG00000231555;ENSG00000232804;ENSG00000234475;ENSG00000235941;ENSG00000237724;ENSG00000206383;ENSG00000234258;ENSG00000236251;ENSG00000226704	HSPA5;HSPA8;HSPA2;HSPA6;HSPA1B;HSPA1A;HSPA1L;HSPA1B;HSPA1A;HSPA1B;HSPA1B;HSPA1B;HSPA1A;HSPA1A;HSPA1A;HSPA1L;HSPA1L;HSPA1L;HSPA1L	
WBGene00002010	hsp-6	C37H5.8	ENSG00000113013	HSPA9	Anemia, sideroblastic, 4, 182170|Even-plus syndrome, 616854
WBGene00002011	hsp-12.2	C14B9.1	ENSG00000109846;ENSG00000004776;ENSG00000160202;ENSG00000106211;ENSG00000170276;ENSG00000152137;ENSG00000169271;ENSG00000254445;ENSG00000276076	CRYAB;HSPB6;CRYAA;HSPB1;HSPB2;HSPB8;HSPB3;HSPB2-C11orf52;	Cardiomyopathy, dilated, 1II, 615184|Cataract 16, multiple types, 613763|Myopathy, myofibrillar, 2, 608810|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869;;Cataract 9, multiple types, 604219;Charcot-Marie-Tooth disease, axonal, type 2F, 606595|Neuropathy, distal hereditary motor, type IIB, 608634;;Charcot-Marie-Tooth disease, axonal, type 2L, 608673|Neuropathy, distal hereditary motor, type IIA, 158590;Neuronopathy, distal hereditary motor, type IIC, 613376;;
WBGene00002012	hsp-12.3	F38E11.1	ENSG00000004776;ENSG00000109846;ENSG00000160202;ENSG00000106211;ENSG00000170276;ENSG00000152137;ENSG00000169271;ENSG00000254445;ENSG00000276076	HSPB6;CRYAB;CRYAA;HSPB1;HSPB2;HSPB8;HSPB3;HSPB2-C11orf52;	Cardiomyopathy, dilated, 1II, 615184|Cataract 16, multiple types, 613763|Myopathy, myofibrillar, 2, 608810|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869;Cataract 9, multiple types, 604219;Charcot-Marie-Tooth disease, axonal, type 2F, 606595|Neuropathy, distal hereditary motor, type IIB, 608634;;Charcot-Marie-Tooth disease, axonal, type 2L, 608673|Neuropathy, distal hereditary motor, type IIA, 158590;Neuronopathy, distal hereditary motor, type IIC, 613376;;
WBGene00002013	hsp-12.6	F38E11.2	ENSG00000004776;ENSG00000109846;ENSG00000160202;ENSG00000106211;ENSG00000170276;ENSG00000152137;ENSG00000169271;ENSG00000254445;ENSG00000276076	HSPB6;CRYAB;CRYAA;HSPB1;HSPB2;HSPB8;HSPB3;HSPB2-C11orf52;	Cardiomyopathy, dilated, 1II, 615184|Cataract 16, multiple types, 613763|Myopathy, myofibrillar, 2, 608810|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869;Cataract 9, multiple types, 604219;Charcot-Marie-Tooth disease, axonal, type 2F, 606595|Neuropathy, distal hereditary motor, type IIB, 608634;;Charcot-Marie-Tooth disease, axonal, type 2L, 608673|Neuropathy, distal hereditary motor, type IIA, 158590;Neuronopathy, distal hereditary motor, type IIC, 613376;;
WBGene00002015	hsp-16.1	T27E4.8	ENSG00000109846;ENSG00000004776;ENSG00000106211;ENSG00000152137;ENSG00000160202;ENSG00000169271;ENSG00000170276;ENSG00000254445;ENSG00000276076	CRYAB;HSPB6;HSPB1;HSPB8;CRYAA;HSPB3;HSPB2;HSPB2-C11orf52;	Cardiomyopathy, dilated, 1II, 615184|Cataract 16, multiple types, 613763|Myopathy, myofibrillar, 2, 608810|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869;;Charcot-Marie-Tooth disease, axonal, type 2F, 606595|Neuropathy, distal hereditary motor, type IIB, 608634;Charcot-Marie-Tooth disease, axonal, type 2L, 608673|Neuropathy, distal hereditary motor, type IIA, 158590;Cataract 9, multiple types, 604219;Neuronopathy, distal hereditary motor, type IIC, 613376;;;
WBGene00002016	hsp-16.2	Y46H3A.3	ENSG00000109846;ENSG00000004776;ENSG00000106211;ENSG00000152137;ENSG00000160202;ENSG00000169271;ENSG00000170276;ENSG00000254445;ENSG00000276076	CRYAB;HSPB6;HSPB1;HSPB8;CRYAA;HSPB3;HSPB2;HSPB2-C11orf52;	Cardiomyopathy, dilated, 1II, 615184|Cataract 16, multiple types, 613763|Myopathy, myofibrillar, 2, 608810|Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869;;Charcot-Marie-Tooth disease, axonal, type 2F, 606595|Neuropathy, distal hereditary motor, type IIB, 608634;Charcot-Marie-Tooth disease, axonal, type 2L, 608673|Neuropathy, distal hereditary motor, type IIA, 158590;Cataract 9, multiple types, 604219;Neuronopathy, distal hereditary motor, type IIC, 613376;;;
